run_name,model_name,lr,num_seeds,best_epoch_mean,best_epoch_std,val_loss_mean,val_loss_std,val_top1_accuracy_mean,val_top1_accuracy_std,val_macro_accuracy_mean,val_macro_accuracy_std,val_top5_accuracy_mean,val_top5_accuracy_std,test_loss_mean,test_loss_std,test_top1_accuracy_mean,test_top1_accuracy_std,test_macro_accuracy_mean,test_macro_accuracy_std,test_top5_accuracy_mean,test_top5_accuracy_std
mot_large-base_1d-bs.512-ep.300,mot_large_1d,1.0,1,47.0,0.0,3.971886005000448,0.0,0.6776290630975144,0.0,0.6760140061378479,0.0,0.8543021032504781,0.0,4.160347446012606,0.0,0.6675592960979342,0.0,0.6536204814910889,0.0,0.851185921958684,0.0
mot_large-huge_1d-bs.512-ep.300,mot_large_1d,0.1,1,39.0,0.0,1.2385490052786658,0.0,0.7269598470363289,0.0,0.7218244671821594,0.0,0.8780114722753346,0.0,1.2724764137297253,0.0,0.7165263963274675,0.0,0.7035161852836609,0.0,0.872991583779648,0.0
mot_large-huge_1d-bs.512-ep.300,mot_large_1d,0.3,1,39.0,0.0,1.7788288590557033,0.0,0.708604206500956,0.0,0.7047144174575806,0.0,0.8703632887189292,0.0,1.8335429412678352,0.0,0.693955623565417,0.0,0.6801632642745972,0.0,0.8641928079571538,0.0
mot_large-huge_1d-bs.512-ep.300,mot_large_1d,0.5,1,44.0,0.0,2.7344147487078754,0.0,0.7043977055449331,0.0,0.7009516954421997,0.0,0.8676864244741874,0.0,2.8020997488872643,0.0,0.688982402448355,0.0,0.6742861866950989,0.0,0.8649579188982403,0.0
mot_large-huge_1d-bs.512-ep.300,mot_large_1d,0.7,1,31.0,0.0,4.1102984689161834,0.0,0.7013384321223709,0.0,0.6971242427825928,0.0,0.8650095602294455,0.0,4.16942139372355,0.0,0.6817138485080336,0.0,0.6673085689544678,0.0,0.8641928079571538,0.0
mot_large-huge_1d-bs.512-ep.300,mot_large_1d,1.0,1,33.0,0.0,5.752281384440726,0.0,0.697131931166348,0.0,0.6919274926185608,0.0,0.8688336520076482,0.0,5.99824989744973,0.0,0.6928079571537873,0.0,0.6795879602432251,0.0,0.8553940321346595,0.0
mot_large_1d-bs.512-ep.300,mot_large_1d,0.1,1,45.0,0.0,0.7718377589267709,0.0,0.8279158699808795,0.0,0.8241565227508545,0.0,0.930019120458891,0.0,0.8089543935809321,0.0,0.814460596786534,0.0,0.8048403859138489,0.0,0.9223412394797246,0.0
mot_large_1d-bs.512-ep.300,mot_large_1d,0.3,1,31.0,0.0,0.7956803542478135,0.0,0.8260038240917782,0.0,0.8193903565406799,0.0,0.9319311663479923,0.0,0.8210843866256329,0.0,0.8083397092578424,0.0,0.798738420009613,0.0,0.928079571537873,0.0
mot_large_1d-bs.512-ep.300,mot_large_1d,0.5,1,41.0,0.0,0.8800012555678534,0.0,0.8210325047801147,0.0,0.8159593939781189,0.0,0.9330783938814532,0.0,0.8954741909199301,0.0,0.8133129303749044,0.0,0.8041415214538574,0.0,0.9303749043611323,0.0
mot_large_1d-bs.512-ep.300,mot_large_1d,0.7,1,33.0,0.0,1.0528506539747775,0.0,0.815678776290631,0.0,0.8089324235916138,0.0,0.9288718929254303,0.0,1.0580171426015677,0.0,0.8041315990818668,0.0,0.7933644652366638,0.0,0.9265493496557001,0.0
mot_large_1d-bs.512-ep.300,mot_large_1d,1.0,1,33.0,0.0,1.4080967948723933,0.0,0.8084130019120459,0.0,0.8011533617973328,0.0,0.9265774378585087,0.0,1.4066644973579763,0.0,0.8018362662586075,0.0,0.7904506921768188,0.0,0.9257842387146136,0.0
mot_small-base_1d-bs.512-ep.300,mot_small_1d,0.1,1,29.0,0.0,1.0402206683477981,0.0,0.7667304015296367,0.0,0.7651249766349792,0.0,0.8956022944550669,0.0,1.0436873695005784,0.0,0.7555470543228768,0.0,0.7415256500244141,0.0,0.8917368018362662,0.0
mot_small-base_1d-bs.512-ep.300,mot_small_1d,0.3,1,49.0,0.0,1.016720620441619,0.0,0.7759082217973231,0.0,0.7767040133476257,0.0,0.9066921606118546,0.0,1.0186783192991389,0.0,0.7639632746748278,0.0,0.7512710690498352,0.0,0.9001530221882172,0.0
mot_small-base_1d-bs.512-ep.300,mot_small_1d,0.5,1,39.0,0.0,1.071942978926416,0.0,0.7713193116634799,0.0,0.7689584493637085,0.0,0.9078393881453155,0.0,1.081393784024648,0.0,0.7586074980872226,0.0,0.7451536655426025,0.0,0.8993879112471308,0.0
